2026-03-16 15:22:20 | InfrastructureDiscovery | INFO | === InfraEye Infrastructure Discovery Started ===
2026-03-16 15:22:25 | InfrastructureDiscovery | INFO | Module 'ImportExcel' is available.
2026-03-16 15:22:25 | InfrastructureDiscovery | INFO | Module 'PSWriteHTML' is available.
2026-03-16 15:22:25 | InfrastructureDiscovery | INFO | Collecting local device profile...
2026-03-16 15:22:25 | InfrastructureDiscovery | INFO | Detecting local network ranges...
2026-03-16 15:22:26 | InfrastructureDiscovery | INFO | Scanning network: 192.168.1.0/24
2026-03-16 15:22:26 | InfrastructureDiscovery | INFO | Ping sweeping network: 192.168.1.0/24
2026-03-16 15:22:28 | InfrastructureDiscovery | INFO | Ping sweep complete. Found 11 live hosts in 192.168.1.0/24
2026-03-16 15:22:28 | InfrastructureDiscovery | INFO | Reading ARP table...
2026-03-16 15:22:30 | InfrastructureDiscovery | INFO | ARP table read. Found 23 entries.
2026-03-16 15:24:32 | InfrastructureDiscovery | INFO | Found 6 ARP-visible host(s) not responding to ICMP on 192.168.1.0/24
2026-03-16 15:25:10 | InfrastructureDiscovery | INFO | Performing DHCP analysis for 192.168.1.0/24...
2026-03-16 15:25:10 | InfrastructureDiscovery | INFO | Performing subnet analysis for 192.168.1.0/24...
2026-03-16 15:25:10 | InfrastructureDiscovery | INFO | Detecting local server roles...
2026-03-16 15:25:10 | InfrastructureDiscovery | INFO | Checking for duplicate IP addresses...
2026-03-16 15:25:10 | InfrastructureDiscovery | INFO | Exporting devices to Excel: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\NetworkDevices_20260316_152220.xlsx
2026-03-16 15:25:14 | InfrastructureDiscovery | SUCCESS | Excel export completed: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\NetworkDevices_20260316_152220.xlsx
2026-03-16 15:25:14 | InfrastructureDiscovery | INFO | Generating HTML report...
2026-03-16 15:25:15 | InfrastructureDiscovery | SUCCESS | Report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\InfrastructureDiscovery_20260316_152220.html
2026-03-16 15:25:15 | InfrastructureDiscovery | WARN | Infrastructure alert conditions met. Triggering alert...
2026-03-16 15:25:18 | InfrastructureDiscovery | SUCCESS | Total devices discovered: 17
2026-03-16 15:25:18 | InfrastructureDiscovery | SUCCESS | === InfraEye Infrastructure Discovery Completed ===
