2026-03-14 21:11:53 | InfrastructureDiscovery | INFO | === InfraEye Infrastructure Discovery Started ===
2026-03-14 21:11:54 | InfrastructureDiscovery | INFO | Module 'ImportExcel' is available.
2026-03-14 21:11:54 | InfrastructureDiscovery | INFO | Module 'PSWriteHTML' is available.
2026-03-14 21:11:54 | InfrastructureDiscovery | INFO | Collecting local device profile...
2026-03-14 21:11:55 | InfrastructureDiscovery | INFO | Detecting local network ranges...
2026-03-14 21:11:55 | InfrastructureDiscovery | INFO | Scanning network: 10.57.26.0/24
2026-03-14 21:11:55 | InfrastructureDiscovery | INFO | Ping sweeping network: 10.57.26.0/24
2026-03-14 21:11:58 | InfrastructureDiscovery | INFO | Ping sweep complete. Found 2 live hosts in 10.57.26.0/24
2026-03-14 21:11:58 | InfrastructureDiscovery | INFO | Reading ARP table...
2026-03-14 21:11:58 | InfrastructureDiscovery | INFO | ARP table read. Found 10 entries.
2026-03-14 21:12:25 | InfrastructureDiscovery | INFO | Performing DHCP analysis for 10.57.26.0/24...
2026-03-14 21:12:25 | InfrastructureDiscovery | INFO | Performing subnet analysis for 10.57.26.0/24...
2026-03-14 21:12:25 | InfrastructureDiscovery | INFO | Scanning network: 192.168.228.0/24
2026-03-14 21:12:25 | InfrastructureDiscovery | INFO | Ping sweeping network: 192.168.228.0/24
2026-03-14 21:12:29 | InfrastructureDiscovery | INFO | Ping sweep complete. Found 1 live hosts in 192.168.228.0/24
2026-03-14 21:12:29 | InfrastructureDiscovery | INFO | Reading ARP table...
2026-03-14 21:12:29 | InfrastructureDiscovery | INFO | ARP table read. Found 10 entries.
2026-03-14 21:12:50 | InfrastructureDiscovery | INFO | Performing DHCP analysis for 192.168.228.0/24...
2026-03-14 21:12:50 | InfrastructureDiscovery | INFO | Performing subnet analysis for 192.168.228.0/24...
2026-03-14 21:12:50 | InfrastructureDiscovery | INFO | Scanning network: 192.168.135.0/24
2026-03-14 21:12:50 | InfrastructureDiscovery | INFO | Ping sweeping network: 192.168.135.0/24
2026-03-14 21:12:53 | InfrastructureDiscovery | INFO | Ping sweep complete. Found 1 live hosts in 192.168.135.0/24
2026-03-14 21:12:53 | InfrastructureDiscovery | INFO | Reading ARP table...
2026-03-14 21:12:53 | InfrastructureDiscovery | INFO | ARP table read. Found 10 entries.
2026-03-14 21:13:14 | InfrastructureDiscovery | INFO | Performing DHCP analysis for 192.168.135.0/24...
2026-03-14 21:13:15 | InfrastructureDiscovery | INFO | Performing subnet analysis for 192.168.135.0/24...
2026-03-14 21:13:15 | InfrastructureDiscovery | INFO | Detecting local server roles...
2026-03-14 21:13:15 | InfrastructureDiscovery | INFO | Checking for duplicate IP addresses...
2026-03-14 21:13:15 | InfrastructureDiscovery | INFO | Exporting devices to Excel: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\NetworkDevices_20260314_211153.xlsx
2026-03-14 21:13:22 | InfrastructureDiscovery | SUCCESS | Excel export completed: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\NetworkDevices_20260314_211153.xlsx
2026-03-14 21:13:22 | InfrastructureDiscovery | INFO | Generating HTML report...
2026-03-14 21:13:22 | InfrastructureDiscovery | SUCCESS | Report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\InfrastructureDiscovery_20260314_211153.html
2026-03-14 21:13:22 | InfrastructureDiscovery | SUCCESS | Total devices discovered: 4
2026-03-14 21:13:22 | InfrastructureDiscovery | SUCCESS | === InfraEye Infrastructure Discovery Completed ===
