2026-03-16 14:38:11 | InfrastructureDiscovery | INFO | === InfraEye Infrastructure Discovery Started ===
2026-03-16 14:38:15 | InfrastructureDiscovery | INFO | Module 'ImportExcel' is available.
2026-03-16 14:38:15 | InfrastructureDiscovery | INFO | Module 'PSWriteHTML' is available.
2026-03-16 14:38:15 | InfrastructureDiscovery | INFO | Collecting local device profile...
2026-03-16 14:38:16 | InfrastructureDiscovery | INFO | Detecting local network ranges...
2026-03-16 14:38:16 | InfrastructureDiscovery | INFO | Scanning network: 192.168.1.0/24
2026-03-16 14:38:16 | InfrastructureDiscovery | INFO | Ping sweeping network: 192.168.1.0/24
2026-03-16 14:38:18 | InfrastructureDiscovery | INFO | Ping sweep complete. Found 9 live hosts in 192.168.1.0/24
2026-03-16 14:38:18 | InfrastructureDiscovery | INFO | Reading ARP table...
2026-03-16 14:38:19 | InfrastructureDiscovery | INFO | ARP table read. Found 22 entries.
2026-03-16 14:39:53 | InfrastructureDiscovery | INFO | Performing DHCP analysis for 192.168.1.0/24...
2026-03-16 14:39:53 | InfrastructureDiscovery | INFO | Performing subnet analysis for 192.168.1.0/24...
2026-03-16 14:39:53 | InfrastructureDiscovery | INFO | Detecting local server roles...
2026-03-16 14:39:53 | InfrastructureDiscovery | INFO | Checking for duplicate IP addresses...
2026-03-16 14:39:53 | InfrastructureDiscovery | INFO | Exporting devices to Excel: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\NetworkDevices_20260316_143811.xlsx
2026-03-16 14:39:55 | InfrastructureDiscovery | SUCCESS | Excel export completed: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\NetworkDevices_20260316_143811.xlsx
2026-03-16 14:39:55 | InfrastructureDiscovery | INFO | Generating HTML report...
2026-03-16 14:39:55 | InfrastructureDiscovery | SUCCESS | Report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\InfrastructureDiscovery_20260316_143811.html
2026-03-16 14:39:55 | InfrastructureDiscovery | SUCCESS | Total devices discovered: 9
2026-03-16 14:39:55 | InfrastructureDiscovery | SUCCESS | === InfraEye Infrastructure Discovery Completed ===
