2026-03-17 11:36:09 | InfrastructureDiscovery | INFO | === InfraEye Infrastructure Discovery Started ===
2026-03-17 11:36:13 | InfrastructureDiscovery | INFO | Module 'ImportExcel' is available.
2026-03-17 11:36:13 | InfrastructureDiscovery | INFO | Module 'PSWriteHTML' is available.
2026-03-17 11:36:13 | InfrastructureDiscovery | INFO | Collecting local device profile...
2026-03-17 11:36:14 | InfrastructureDiscovery | INFO | Detecting local network ranges...
2026-03-17 11:36:14 | InfrastructureDiscovery | INFO | Scanning network: 192.168.1.0/24
2026-03-17 11:36:14 | InfrastructureDiscovery | INFO | Ping sweeping network: 192.168.1.0/24
2026-03-17 11:36:16 | InfrastructureDiscovery | INFO | Ping sweep complete. Found 11 live hosts in 192.168.1.0/24
2026-03-17 11:36:16 | InfrastructureDiscovery | INFO | Reading ARP table...
2026-03-17 11:36:17 | InfrastructureDiscovery | INFO | ARP table read. Found 21 entries.
2026-03-17 11:38:13 | InfrastructureDiscovery | INFO | Found 5 ARP-visible host(s) not responding to ICMP on 192.168.1.0/24
2026-03-17 11:45:26 | InfrastructureDiscovery | INFO | Performing DHCP analysis for 192.168.1.0/24...
2026-03-17 11:45:52 | InfrastructureDiscovery | INFO | Performing subnet analysis for 192.168.1.0/24...
2026-03-17 11:45:52 | InfrastructureDiscovery | INFO | Detecting local server roles...
2026-03-17 11:45:52 | InfrastructureDiscovery | INFO | Checking for duplicate IP addresses...
2026-03-17 11:45:52 | InfrastructureDiscovery | INFO | Exporting devices to Excel: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\NetworkDevices_20260317_113609.xlsx
2026-03-17 11:45:53 | InfrastructureDiscovery | SUCCESS | Excel export completed: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\NetworkDevices_20260317_113609.xlsx
2026-03-17 11:45:53 | InfrastructureDiscovery | INFO | Generating HTML report...
2026-03-17 11:45:53 | InfrastructureDiscovery | SUCCESS | Report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\InfrastructureDiscovery_20260317_113609.html
2026-03-17 11:45:53 | InfrastructureDiscovery | WARN | Infrastructure alert conditions met. Triggering alert...
2026-03-17 11:45:56 | InfrastructureDiscovery | SUCCESS | Total devices discovered: 16
2026-03-17 11:45:56 | InfrastructureDiscovery | SUCCESS | === InfraEye Infrastructure Discovery Completed ===
