2026-03-14 18:35:22 | DeviceHealth | INFO | === InfraEye Device Health Diagnostics Started ===
2026-03-14 18:35:22 | DeviceHealth | INFO | Module 'ImportExcel' is available.
2026-03-14 18:35:22 | DeviceHealth | INFO | Module 'PSWriteHTML' is available.
2026-03-14 18:35:22 | DeviceHealth | INFO | Detecting system type...
2026-03-14 18:35:22 | DeviceHealth | INFO | System type detected: Laptop
2026-03-14 18:35:22 | DeviceHealth | INFO | Collecting system information...
2026-03-14 18:35:23 | DeviceHealth | INFO | Collecting CPU data...
2026-03-14 18:35:25 | DeviceHealth | INFO | Collecting RAM data...
2026-03-14 18:35:25 | DeviceHealth | INFO | Collecting disk data...
2026-03-14 18:35:26 | DeviceHealth | INFO | Collecting GPU data...
2026-03-14 18:35:26 | DeviceHealth | INFO | Collecting battery data...
2026-03-14 18:35:26 | DeviceHealth | INFO | Collecting startup programs...
2026-03-14 18:35:26 | DeviceHealth | INFO | Performing performance analysis...
2026-03-14 18:35:26 | DeviceHealth | INFO | Generating HTML report...
2026-03-14 18:35:26 | DeviceHealth | ERROR | FATAL ERROR: Unable to find type [System.Web.HttpUtility].
