2026-03-14 19:28:43 | DeviceHealth | INFO | === InfraEye Device Health Diagnostics Started ===
2026-03-14 19:28:48 | DeviceHealth | INFO | Module 'ImportExcel' is available.
2026-03-14 19:28:48 | DeviceHealth | INFO | Module 'PSWriteHTML' is available.
2026-03-14 19:28:48 | DeviceHealth | INFO | Detecting system type...
2026-03-14 19:28:48 | DeviceHealth | INFO | System type detected: Laptop
2026-03-14 19:28:48 | DeviceHealth | INFO | Collecting system information...
2026-03-14 19:28:48 | DeviceHealth | INFO | Collecting CPU data...
2026-03-14 19:28:50 | DeviceHealth | INFO | Collecting RAM data...
2026-03-14 19:28:51 | DeviceHealth | INFO | Collecting disk data...
2026-03-14 19:28:52 | DeviceHealth | INFO | Collecting GPU data...
2026-03-14 19:28:52 | DeviceHealth | INFO | Collecting battery data...
2026-03-14 19:28:52 | DeviceHealth | INFO | Collecting startup programs...
2026-03-14 19:28:52 | DeviceHealth | INFO | Collecting top resource-consuming processes...
2026-03-14 19:28:52 | DeviceHealth | INFO | Collecting temperature data...
2026-03-14 19:28:52 | DeviceHealth | WARN | No temperature sensors accessible via WMI on this system.
2026-03-14 19:28:52 | DeviceHealth | INFO | Performing performance analysis...
2026-03-14 19:28:52 | DeviceHealth | INFO | Generating HTML report...
2026-03-14 19:28:52 | DeviceHealth | SUCCESS | Report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\DeviceHealth\Reports\DeviceHealth_20260314_192843.html
2026-03-14 19:28:52 | DeviceHealth | WARN | Critical issues detected. Triggering alert script...
2026-03-14 19:28:53 | DeviceHealth | SUCCESS | === InfraEye Device Health Diagnostics Completed ===
