2026-03-16 13:27:55 | DeviceHealth | INFO | === InfraEye Device Health Diagnostics Started ===
2026-03-16 13:27:58 | DeviceHealth | INFO | Module 'ImportExcel' is available.
2026-03-16 13:27:58 | DeviceHealth | INFO | Module 'PSWriteHTML' is available.
2026-03-16 13:27:58 | DeviceHealth | INFO | Detecting system type...
2026-03-16 13:27:58 | DeviceHealth | INFO | System type detected: Laptop
2026-03-16 13:27:58 | DeviceHealth | INFO | Collecting system information...
2026-03-16 13:27:58 | DeviceHealth | INFO | Collecting CPU data...
2026-03-16 13:28:01 | DeviceHealth | INFO | Collecting RAM data...
2026-03-16 13:28:01 | DeviceHealth | INFO | Collecting disk data...
2026-03-16 13:28:03 | DeviceHealth | INFO | Collecting GPU data...
2026-03-16 13:28:03 | DeviceHealth | INFO | Collecting battery data...
2026-03-16 13:28:03 | DeviceHealth | INFO | Collecting startup programs...
2026-03-16 13:28:03 | DeviceHealth | INFO | Collecting top resource-consuming processes...
2026-03-16 13:28:03 | DeviceHealth | INFO | Collecting temperature data...
2026-03-16 13:28:03 | DeviceHealth | WARN | No temperature sensors accessible via WMI on this system.
2026-03-16 13:28:03 | DeviceHealth | INFO | Performing performance analysis...
2026-03-16 13:28:04 | DeviceHealth | INFO | Generating HTML report...
2026-03-16 13:28:04 | DeviceHealth | SUCCESS | Report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\DeviceHealth\Reports\DeviceHealth_20260316_132755.html
2026-03-16 13:28:04 | DeviceHealth | WARN | Critical issues detected. Triggering alert script...
2026-03-16 13:28:04 | DeviceHealth | SUCCESS | === InfraEye Device Health Diagnostics Completed ===
