2026-03-16 15:18:56 | DeviceHealth | INFO | === InfraEye Device Health Diagnostics Started ===
2026-03-16 15:19:13 | DeviceHealth | INFO | Module 'ImportExcel' is available.
2026-03-16 15:19:13 | DeviceHealth | INFO | Module 'PSWriteHTML' is available.
2026-03-16 15:19:13 | DeviceHealth | INFO | Detecting system type...
2026-03-16 15:19:14 | DeviceHealth | INFO | System type detected: Laptop
2026-03-16 15:19:14 | DeviceHealth | INFO | Collecting system information...
2026-03-16 15:19:15 | DeviceHealth | INFO | Collecting CPU data...
2026-03-16 15:19:18 | DeviceHealth | INFO | Collecting RAM data...
2026-03-16 15:19:18 | DeviceHealth | INFO | Collecting disk data...
2026-03-16 15:19:24 | DeviceHealth | INFO | Collecting GPU data...
2026-03-16 15:19:24 | DeviceHealth | INFO | Collecting battery data...
2026-03-16 15:19:25 | DeviceHealth | INFO | Collecting startup programs...
2026-03-16 15:19:25 | DeviceHealth | INFO | Collecting top resource-consuming processes...
2026-03-16 15:19:26 | DeviceHealth | INFO | Collecting temperature data...
2026-03-16 15:19:26 | DeviceHealth | INFO | Performing performance analysis...
2026-03-16 15:19:28 | DeviceHealth | INFO | Generating HTML report...
2026-03-16 15:19:28 | DeviceHealth | SUCCESS | Report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\DeviceHealth\Reports\DeviceHealth_20260316_151856.html
2026-03-16 15:19:29 | DeviceHealth | WARN | Critical issues detected. Triggering alert script...
2026-03-16 15:19:29 | DeviceHealth | SUCCESS | === InfraEye Device Health Diagnostics Completed ===
