2026-03-17 11:30:00 | DeviceHealth | INFO | === InfraEye Device Health Diagnostics Started ===
2026-03-17 11:30:46 | DeviceHealth | INFO | Module 'ImportExcel' is available.
2026-03-17 11:30:46 | DeviceHealth | INFO | Module 'PSWriteHTML' is available.
2026-03-17 11:30:46 | DeviceHealth | INFO | Detecting system type...
2026-03-17 11:30:46 | DeviceHealth | INFO | System type detected: Laptop
2026-03-17 11:30:47 | DeviceHealth | INFO | Collecting system information...
2026-03-17 11:30:47 | DeviceHealth | INFO | Collecting CPU data...
2026-03-17 11:30:53 | DeviceHealth | INFO | Collecting RAM data...
2026-03-17 11:30:54 | DeviceHealth | INFO | Collecting disk data...
2026-03-17 11:31:02 | DeviceHealth | INFO | Collecting GPU data...
2026-03-17 11:31:02 | DeviceHealth | INFO | Collecting battery data...
2026-03-17 11:31:04 | DeviceHealth | INFO | Collecting startup programs...
2026-03-17 11:31:04 | DeviceHealth | INFO | Collecting top resource-consuming processes...
2026-03-17 11:31:04 | DeviceHealth | INFO | Collecting temperature data...
2026-03-17 11:31:04 | DeviceHealth | INFO | Performing performance analysis...
2026-03-17 11:31:05 | DeviceHealth | INFO | Generating HTML report...
2026-03-17 11:31:05 | DeviceHealth | SUCCESS | Report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\DeviceHealth\Reports\DeviceHealth_20260317_113000.html
2026-03-17 11:31:05 | DeviceHealth | WARN | Critical issues detected. Triggering alert script...
2026-03-17 11:31:05 | DeviceHealth | SUCCESS | === InfraEye Device Health Diagnostics Completed ===
