2026-03-16 12:56:13 | DeviceHealth | INFO | === InfraEye Device Health Diagnostics Started ===
2026-03-16 12:56:25 | DeviceHealth | INFO | Module 'ImportExcel' is available.
2026-03-16 12:56:25 | DeviceHealth | INFO | Module 'PSWriteHTML' is available.
2026-03-16 12:56:25 | DeviceHealth | INFO | Detecting system type...
2026-03-16 12:56:25 | DeviceHealth | INFO | System type detected: Laptop
2026-03-16 12:56:25 | DeviceHealth | INFO | Collecting system information...
2026-03-16 12:56:25 | DeviceHealth | INFO | Collecting CPU data...
2026-03-16 12:56:28 | DeviceHealth | INFO | Collecting RAM data...
2026-03-16 12:56:28 | DeviceHealth | INFO | Collecting disk data...
2026-03-16 12:56:32 | DeviceHealth | INFO | Collecting GPU data...
2026-03-16 12:56:32 | DeviceHealth | INFO | Collecting battery data...
2026-03-16 12:56:32 | DeviceHealth | INFO | Collecting startup programs...
2026-03-16 12:56:32 | DeviceHealth | INFO | Collecting top resource-consuming processes...
2026-03-16 12:56:32 | DeviceHealth | INFO | Collecting temperature data...
2026-03-16 12:56:32 | DeviceHealth | WARN | No temperature sensors accessible via WMI on this system.
2026-03-16 12:56:32 | DeviceHealth | INFO | Performing performance analysis...
2026-03-16 12:56:33 | DeviceHealth | ERROR | FATAL ERROR: Method invocation failed because [System.Management.Automation.PSObject] does not contain a method named 'op_Addition'.
